,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,p3_amplitude,p3_center,p3_sigma,tmean,tstart,tstop,kinetics
-597.5,0.06,0.0552,0.7884,0.589,0.2182,0.0339,0.93,0.0558,-597.5,-600,-595,0.0413
-596.5,0.06,0.0552,0.7424,0.589,0.2182,0.0809,0.93,0.0558,-596.5,-599,-594,0.0983
-595.5,0.06,0.0552,0.7313,0.589,0.2182,0.0791,0.93,0.0558,-595.5,-598,-593,0.0976
-594.5,0.06,0.0552,0.7091,0.589,0.2182,0.0809,0.93,0.0558,-594.5,-597,-592,0.1024
-593.5,0.06,0.0552,0.7084,0.589,0.2182,0.0923,0.93,0.0558,-593.5,-596,-591,0.1153
-592.5,0.06,0.0552,0.7075,0.589,0.2182,0.0909,0.93,0.0558,-592.5,-595,-590,0.1139
-591.5,0.06,0.0552,0.7458,0.589,0.2182,0.0626,0.93,0.0558,-591.5,-594,-589,0.0774
-590.5,0.06,0.0552,0.7664,0.589,0.2182,0.0741,0.93,0.0558,-590.5,-593,-588,0.0881
-589.5,0.06,0.0552,0.7145,0.589,0.2182,0.0546,0.93,0.0558,-589.5,-592,-587,0.071
-588.5,0.06,0.0552,0.6946,0.589,0.2182,0.0729,0.93,0.0558,-588.5,-591,-586,0.095
-587.5,0.06,0.0552,0.6434,0.589,0.2182,0.1032,0.93,0.0558,-587.5,-590,-585,0.1383
-586.5,0.06,0.0552,0.5941,0.589,0.2182,0.1239,0.93,0.0558,-586.5,-589,-584,0.1725
-585.5,0.06,0.0552,0.6173,0.589,0.2182,0.086,0.93,0.0558,-585.5,-588,-583,0.1223
-584.5,0.06,0.0552,0.6843,0.589,0.2182,0.1379,0.93,0.0558,-584.5,-587,-582,0.1677
-583.5,0.06,0.0552,0.6681,0.589,0.2182,0.0972,0.93,0.0558,-583.5,-586,-581,0.127
-582.5,0.06,0.0552,0.7396,0.589,0.2182,0.0681,0.93,0.0558,-582.5,-585,-580,0.0843
-581.5,0.06,0.0552,0.8303,0.589,0.2182,0.0397,0.93,0.0558,-581.5,-584,-579,0.0456
-580.5,0.06,0.0552,0.8118,0.589,0.2182,0.0298,0.93,0.0558,-580.5,-583,-578,0.0354
-579.5,0.06,0.0552,0.7745,0.589,0.2182,0.0252,0.93,0.0558,-579.5,-582,-577,0.0315
-578.5,0.06,0.0552,0.7378,0.589,0.2182,0.0694,0.93,0.0558,-578.5,-581,-576,0.086
-577.5,0.06,0.0552,0.706,0.589,0.2182,0.0592,0.93,0.0558,-577.5,-580,-575,0.0773
-576.5,0.06,0.0552,0.679,0.589,0.2182,0.059,0.93,0.0558,-576.5,-579,-574,0.08
-575.5,0.06,0.0552,0.7219,0.589,0.2182,0.0641,0.93,0.0558,-575.5,-578,-573,0.0815
-574.5,0.06,0.0552,0.7085,0.589,0.2182,0.0508,0.93,0.0558,-574.5,-577,-572,0.067
-573.5,0.06,0.0552,0.7382,0.589,0.2182,0.0188,0.93,0.0558,-573.5,-576,-571,0.0248
-572.5,0.06,0.0552,0.6952,0.589,0.2182,0.0553,0.93,0.0558,-572.5,-575,-570,0.0737
-571.5,0.06,0.0552,0.6834,0.589,0.2182,0.0777,0.93,0.0558,-571.5,-574,-569,0.1021
-570.5,0.06,0.0552,0.5993,0.589,0.2182,0.0886,0.93,0.0558,-570.5,-573,-568,0.1288
-569.5,0.06,0.0552,0.579,0.589,0.2182,0.103,0.93,0.0558,-569.5,-572,-567,0.151
-568.5,0.06,0.0552,0.5965,0.589,0.2182,0.1146,0.93,0.0558,-568.5,-571,-566,0.1612
-567.5,0.06,0.0552,0.6145,0.589,0.2182,0.1187,0.93,0.0558,-567.5,-570,-565,0.1619
-566.5,0.06,0.0552,0.62,0.589,0.2182,0.1363,0.93,0.0558,-566.5,-569,-564,0.1802
-565.5,0.06,0.0552,0.694,0.589,0.2182,0.1075,0.93,0.0558,-565.5,-568,-563,0.1341
-564.5,0.06,0.0552,0.7333,0.589,0.2182,0.1194,0.93,0.0558,-564.5,-567,-562,0.14
-563.5,0.06,0.0552,0.7069,0.589,0.2182,0.1621,0.93,0.0558,-563.5,-566,-561,0.1866
-562.5,0.06,0.0552,0.7306,0.589,0.2182,0.135,0.93,0.0558,-562.5,-565,-560,0.156
-561.5,0.06,0.0552,0.7543,0.589,0.2182,0.1105,0.93,0.0558,-561.5,-564,-559,0.1277
-560.5,0.06,0.0552,0.7114,0.589,0.2182,0.1445,0.93,0.0558,-560.5,-563,-558,0.1689
-559.5,0.06,0.0552,0.7069,0.589,0.2182,0.1631,0.93,0.0558,-559.5,-562,-557,0.1875
-558.5,0.06,0.0552,0.746,0.589,0.2182,0.1517,0.93,0.0558,-558.5,-561,-556,0.169
-557.5,0.06,0.0552,0.7417,0.589,0.2182,0.1396,0.93,0.0558,-557.5,-560,-555,0.1584
-556.5,0.06,0.0552,0.7404,0.589,0.2182,0.1446,0.93,0.0558,-556.5,-559,-554,0.1633
-555.5,0.06,0.0552,0.7552,0.589,0.2182,0.1572,0.93,0.0558,-555.5,-558,-553,0.1723
-554.5,0.06,0.0552,0.8192,0.589,0.2182,0.0992,0.93,0.0558,-554.5,-557,-552,0.108
-553.5,0.06,0.0552,0.8002,0.589,0.2182,0.1015,0.93,0.0558,-553.5,-556,-551,0.1126
-552.5,0.06,0.0552,0.8143,0.589,0.2182,0.1119,0.93,0.0558,-552.5,-555,-550,0.1208
-551.5,0.06,0.0552,0.8279,0.589,0.2182,0.1092,0.93,0.0558,-551.5,-554,-549,0.1165
-550.5,0.06,0.0552,0.8275,0.589,0.2182,0.0906,0.93,0.0558,-550.5,-553,-548,0.0987
-549.5,0.06,0.0552,0.7807,0.589,0.2182,0.1013,0.93,0.0558,-549.5,-552,-547,0.1149
-548.5,0.06,0.0552,0.8238,0.589,0.2182,0.051,0.93,0.0558,-548.5,-551,-546,0.0584
-547.5,0.06,0.0552,0.7697,0.589,0.2182,0.0578,0.93,0.0558,-547.5,-550,-545,0.0699
-546.5,0.06,0.0552,0.7106,0.589,0.2182,0.0387,0.93,0.0558,-546.5,-549,-544,0.0517
-545.5,0.06,0.0552,0.709,0.589,0.2182,0.0401,0.93,0.0558,-545.5,-548,-543,0.0535
-544.5,0.06,0.0552,0.6472,0.589,0.2182,0.0768,0.93,0.0558,-544.5,-547,-542,0.1061
-543.5,0.06,0.0552,0.5724,0.589,0.2182,0.1115,0.93,0.0558,-543.5,-546,-541,0.163
-542.5,0.06,0.0552,0.5673,0.589,0.2182,0.1445,0.93,0.0558,-542.5,-545,-540,0.203
-541.5,0.06,0.0552,0.5922,0.589,0.2182,0.1829,0.93,0.0558,-541.5,-544,-539,0.2359
-540.5,0.06,0.0552,0.5626,0.589,0.2182,0.2054,0.93,0.0558,-540.5,-543,-538,0.2675
-539.5,0.06,0.0552,0.6335,0.589,0.2182,0.1827,0.93,0.0558,-539.5,-542,-537,0.2239
-538.5,0.06,0.0552,0.6751,0.589,0.2182,0.1604,0.93,0.0558,-538.5,-541,-536,0.192
-537.5,0.06,0.0552,0.6837,0.589,0.2182,0.1084,0.93,0.0558,-537.5,-540,-535,0.1369
-536.5,0.06,0.0552,0.7019,0.589,0.2182,0.0694,0.93,0.0558,-536.5,-539,-534,0.09
-535.5,0.06,0.0552,0.678,0.589,0.2182,0.1051,0.93,0.0558,-535.5,-538,-533,0.1342
-534.5,0.06,0.0552,0.7029,0.589,0.2182,0.0667,0.93,0.0558,-534.5,-537,-532,0.0867
-533.5,0.06,0.0552,0.6791,0.589,0.2182,0.07,0.93,0.0558,-533.5,-536,-531,0.0934
-532.5,0.06,0.0552,0.7435,0.589,0.2182,0.0484,0.93,0.0558,-532.5,-535,-530,0.0612
-531.5,0.06,0.0552,0.7141,0.589,0.2182,0.0375,0.93,0.0558,-531.5,-534,-529,0.0499
-530.5,0.06,0.0552,0.7004,0.589,0.2182,-0.0124,0.93,0.0558,-530.5,-533,-528,-0.018
-529.5,0.06,0.0552,0.6861,0.589,0.2182,-0.0026,0.93,0.0558,-529.5,-532,-527,-0.0038
-528.5,0.06,0.0552,0.6396,0.589,0.2182,0.0481,0.93,0.0558,-528.5,-531,-526,0.07
-527.5,0.06,0.0552,0.6067,0.589,0.2182,0.0785,0.93,0.0558,-527.5,-530,-525,0.1146
-526.5,0.06,0.0552,0.6453,0.589,0.2182,0.0951,0.93,0.0558,-526.5,-529,-524,0.1285
-525.5,0.06,0.0552,0.7255,0.589,0.2182,0.0801,0.93,0.0558,-525.5,-528,-523,0.0994
-524.5,0.06,0.0552,0.666,0.589,0.2182,0.1151,0.93,0.0558,-524.5,-527,-522,0.1474
-523.5,0.06,0.0552,0.6756,0.589,0.2182,0.0858,0.93,0.0558,-523.5,-526,-521,0.1127
-522.5,0.06,0.0552,0.7185,0.589,0.2182,0.0575,0.93,0.0558,-522.5,-525,-520,0.0741
-521.5,0.06,0.0552,0.7438,0.589,0.2182,0.055,0.93,0.0558,-521.5,-524,-519,0.0689
-520.5,0.06,0.0552,0.6915,0.589,0.2182,0.1299,0.93,0.0558,-520.5,-523,-518,0.1582
-519.5,0.06,0.0552,0.7181,0.589,0.2182,0.0898,0.93,0.0558,-519.5,-522,-517,0.1112
-518.5,0.06,0.0552,0.7427,0.589,0.2182,0.1048,0.93,0.0558,-518.5,-521,-516,0.1236
-517.5,0.06,0.0552,0.7148,0.589,0.2182,0.1182,0.93,0.0558,-517.5,-520,-515,0.1419
-516.5,0.06,0.0552,0.696,0.589,0.2182,0.1498,0.93,0.0558,-516.5,-519,-514,0.1771
-515.5,0.06,0.0552,0.7469,0.589,0.2182,0.0828,0.93,0.0558,-515.5,-518,-513,0.0997
-514.5,0.06,0.0552,0.7757,0.589,0.2182,0.1163,0.93,0.0558,-514.5,-517,-512,0.1304
-513.5,0.06,0.0552,0.6966,0.589,0.2182,0.14,0.93,0.0558,-513.5,-516,-511,0.1673
-512.5,0.06,0.0552,0.6632,0.589,0.2182,0.173,0.93,0.0558,-512.5,-515,-510,0.2069
-511.5,0.06,0.0552,0.6405,0.589,0.2182,0.188,0.93,0.0558,-511.5,-514,-509,0.2269
-510.5,0.06,0.0552,0.6664,0.589,0.2182,0.1823,0.93,0.0558,-510.5,-513,-508,0.2148
-509.5,0.06,0.0552,0.5739,0.589,0.2182,0.2275,0.93,0.0558,-509.5,-512,-507,0.2839
-508.5,0.06,0.0552,0.5975,0.589,0.2182,0.1878,0.93,0.0558,-508.5,-511,-506,0.2392
-507.5,0.06,0.0552,0.6326,0.589,0.2182,0.1578,0.93,0.0558,-507.5,-510,-505,0.1996
-506.5,0.06,0.0552,0.6473,0.589,0.2182,0.1415,0.93,0.0558,-506.5,-509,-504,0.1794
-505.5,0.06,0.0552,0.6099,0.589,0.2182,0.1573,0.93,0.0558,-505.5,-508,-503,0.2051
-504.5,0.06,0.0552,0.7022,0.589,0.2182,0.1164,0.93,0.0558,-504.5,-507,-502,0.1422
-503.5,0.06,0.0552,0.7663,0.589,0.2182,0.1363,0.93,0.0558,-503.5,-506,-501,0.151
-502.5,0.06,0.0552,0.7279,0.589,0.2182,0.1455,0.93,0.0558,-502.5,-505,-500,0.1665
-501.5,0.06,0.0552,0.6758,0.589,0.2182,0.1798,0.93,0.0558,-501.5,-504,-499,0.2102
-500.5,0.06,0.0552,0.6863,0.589,0.2182,0.1787,0.93,0.0558,-500.5,-503,-498,0.2066
-499.5,0.06,0.0552,0.6764,0.589,0.2182,0.162,0.93,0.0558,-499.5,-502,-497,0.1932
