,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,p3_amplitude,p3_center,p3_sigma,tmean,tstart,tstop,kinetics
-897.5,0.074,0.058,0.7319,0.628,0.201,0.0906,0.936,0.0525,-897.5,-900,-895,0.1101
-896.5,0.074,0.058,0.7134,0.628,0.201,0.1189,0.936,0.0525,-896.5,-899,-894,0.1428
-895.5,0.074,0.058,0.7371,0.628,0.201,0.0977,0.936,0.0525,-895.5,-898,-893,0.117
-894.5,0.074,0.058,0.771,0.628,0.201,0.0975,0.936,0.0525,-894.5,-897,-892,0.1123
-893.5,0.074,0.058,0.7017,0.628,0.201,0.1155,0.936,0.0525,-893.5,-896,-891,0.1414
-892.5,0.074,0.058,0.7074,0.628,0.201,0.1113,0.936,0.0525,-892.5,-895,-890,0.1359
-891.5,0.074,0.058,0.679,0.628,0.201,0.1016,0.936,0.0525,-891.5,-894,-889,0.1302
-890.5,0.074,0.058,0.6422,0.628,0.201,0.1194,0.936,0.0525,-890.5,-893,-888,0.1567
-889.5,0.074,0.058,0.6339,0.628,0.201,0.1022,0.936,0.0525,-889.5,-892,-887,0.1388
-888.5,0.074,0.058,0.6853,0.628,0.201,0.0874,0.936,0.0525,-888.5,-891,-886,0.1131
-887.5,0.074,0.058,0.6588,0.628,0.201,0.0972,0.936,0.0525,-887.5,-890,-885,0.1286
-886.5,0.074,0.058,0.6707,0.628,0.201,0.1258,0.936,0.0525,-886.5,-889,-884,0.158
-885.5,0.074,0.058,0.7072,0.628,0.201,0.1339,0.936,0.0525,-885.5,-888,-883,0.1592
-884.5,0.074,0.058,0.7179,0.628,0.201,0.1528,0.936,0.0525,-884.5,-887,-882,0.1755
-883.5,0.074,0.058,0.7199,0.628,0.201,0.164,0.936,0.0525,-883.5,-886,-881,0.1856
-882.5,0.074,0.058,0.7008,0.628,0.201,0.2116,0.936,0.0525,-882.5,-885,-880,0.2319
-881.5,0.074,0.058,0.7379,0.628,0.201,0.1845,0.936,0.0525,-881.5,-884,-879,0.2
-880.5,0.074,0.058,0.6965,0.628,0.201,0.1997,0.936,0.0525,-880.5,-883,-878,0.2228
-879.5,0.074,0.058,0.7578,0.628,0.201,0.1589,0.936,0.0525,-879.5,-882,-877,0.1733
-878.5,0.074,0.058,0.745,0.628,0.201,0.1573,0.936,0.0525,-878.5,-881,-876,0.1744
-877.5,0.074,0.058,0.7647,0.628,0.201,0.1307,0.936,0.0525,-877.5,-880,-875,0.1459
-876.5,0.074,0.058,0.7349,0.628,0.201,0.1378,0.936,0.0525,-876.5,-879,-874,0.1579
-875.5,0.074,0.058,0.7141,0.628,0.201,0.1497,0.936,0.0525,-875.5,-878,-873,0.1733
-874.5,0.074,0.058,0.5823,0.628,0.201,0.2381,0.936,0.0525,-874.5,-877,-872,0.2902
-873.5,0.074,0.058,0.5139,0.628,0.201,0.2977,0.936,0.0525,-873.5,-876,-871,0.3668
-872.5,0.074,0.058,0.5111,0.628,0.201,0.2877,0.936,0.0525,-872.5,-875,-870,0.3602
-871.5,0.074,0.058,0.5541,0.628,0.201,0.2133,0.936,0.0525,-871.5,-874,-869,0.2779
-870.5,0.074,0.058,0.6074,0.628,0.201,0.1962,0.936,0.0525,-870.5,-873,-868,0.2441
-869.5,0.074,0.058,0.6497,0.628,0.201,0.1384,0.936,0.0525,-869.5,-872,-867,0.1756
-868.5,0.074,0.058,0.7551,0.628,0.201,0.0637,0.936,0.0525,-868.5,-871,-866,0.0778
-867.5,0.074,0.058,0.7672,0.628,0.201,0.0728,0.936,0.0525,-867.5,-870,-865,0.0867
