,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,p3_amplitude,p3_center,p3_sigma,tmean,tstart,tstop,kinetics
-897.5,0.074,0.058,0.7523,0.628,0.201,0.0813,0.936,0.0525,-897.5,-900,-895,0.0975
-896.5,0.074,0.058,0.7343,0.628,0.201,0.1135,0.936,0.0525,-896.5,-899,-894,0.1339
-895.5,0.074,0.058,0.754,0.628,0.201,0.0894,0.936,0.0525,-895.5,-898,-893,0.106
-894.5,0.074,0.058,0.7823,0.628,0.201,0.0908,0.936,0.0525,-894.5,-897,-892,0.104
-893.5,0.074,0.058,0.7112,0.628,0.201,0.1144,0.936,0.0525,-893.5,-896,-891,0.1386
-892.5,0.074,0.058,0.7176,0.628,0.201,0.1157,0.936,0.0525,-892.5,-895,-890,0.1388
-891.5,0.074,0.058,0.6834,0.628,0.201,0.1022,0.936,0.0525,-891.5,-894,-889,0.13
-890.5,0.074,0.058,0.6323,0.628,0.201,0.128,0.936,0.0525,-890.5,-893,-888,0.1683
-889.5,0.074,0.058,0.6285,0.628,0.201,0.1111,0.936,0.0525,-889.5,-892,-887,0.1503
-888.5,0.074,0.058,0.6889,0.628,0.201,0.0947,0.936,0.0525,-888.5,-891,-886,0.1208
-887.5,0.074,0.058,0.6581,0.628,0.201,0.099,0.936,0.0525,-887.5,-890,-885,0.1307
-886.5,0.074,0.058,0.6835,0.628,0.201,0.1244,0.936,0.0525,-886.5,-889,-884,0.154
-885.5,0.074,0.058,0.7378,0.628,0.201,0.132,0.936,0.0525,-885.5,-888,-883,0.1518
-884.5,0.074,0.058,0.7378,0.628,0.201,0.1604,0.936,0.0525,-884.5,-887,-882,0.1786
-883.5,0.074,0.058,0.7376,0.628,0.201,0.174,0.936,0.0525,-883.5,-886,-881,0.1909
-882.5,0.074,0.058,0.7166,0.628,0.201,0.2241,0.936,0.0525,-882.5,-885,-880,0.2383
-881.5,0.074,0.058,0.7454,0.628,0.201,0.1934,0.936,0.0525,-881.5,-884,-879,0.206
-880.5,0.074,0.058,0.6939,0.628,0.201,0.205,0.936,0.0525,-880.5,-883,-878,0.228
-879.5,0.074,0.058,0.7792,0.628,0.201,0.1519,0.936,0.0525,-879.5,-882,-877,0.1631
-878.5,0.074,0.058,0.7722,0.628,0.201,0.1466,0.936,0.0525,-878.5,-881,-876,0.1596
-877.5,0.074,0.058,0.7909,0.628,0.201,0.1202,0.936,0.0525,-877.5,-880,-875,0.1319
-876.5,0.074,0.058,0.7593,0.628,0.201,0.1334,0.936,0.0525,-876.5,-879,-874,0.1494
-875.5,0.074,0.058,0.7462,0.628,0.201,0.1374,0.936,0.0525,-875.5,-878,-873,0.1555
-874.5,0.074,0.058,0.6016,0.628,0.201,0.219,0.936,0.0525,-874.5,-877,-872,0.2669
-873.5,0.074,0.058,0.5298,0.628,0.201,0.2781,0.936,0.0525,-873.5,-876,-871,0.3442
-872.5,0.074,0.058,0.5142,0.628,0.201,0.263,0.936,0.0525,-872.5,-875,-870,0.3384
-871.5,0.074,0.058,0.5424,0.628,0.201,0.1927,0.936,0.0525,-871.5,-874,-869,0.2621
-870.5,0.074,0.058,0.5955,0.628,0.201,0.182,0.936,0.0525,-870.5,-873,-868,0.2341
-869.5,0.074,0.058,0.6357,0.628,0.201,0.1304,0.936,0.0525,-869.5,-872,-867,0.1702
-868.5,0.074,0.058,0.7383,0.628,0.201,0.0628,0.936,0.0525,-868.5,-871,-866,0.0784
-867.5,0.074,0.058,0.7611,0.628,0.201,0.0761,0.936,0.0525,-867.5,-870,-865,0.0909
-866.5,0.074,0.058,0.7832,0.628,0.201,0.1083,0.936,0.0525,-866.5,-869,-864,0.1215
-865.5,0.074,0.058,0.7993,0.628,0.201,0.0906,0.936,0.0525,-865.5,-868,-863,0.1018
-864.5,0.074,0.058,0.7808,0.628,0.201,0.0895,0.936,0.0525,-864.5,-867,-862,0.1028
-863.5,0.074,0.058,0.7694,0.628,0.201,0.106,0.936,0.0525,-863.5,-866,-861,0.121
-862.5,0.074,0.058,0.7481,0.628,0.201,0.0937,0.936,0.0525,-862.5,-865,-860,0.1113
-861.5,0.074,0.058,0.7189,0.628,0.201,0.1141,0.936,0.0525,-861.5,-864,-859,0.137
-860.5,0.074,0.058,0.7059,0.628,0.201,0.1112,0.936,0.0525,-860.5,-863,-858,0.136
-859.5,0.074,0.058,0.7276,0.628,0.201,0.112,0.936,0.0525,-859.5,-862,-857,0.1334
-858.5,0.074,0.058,0.7146,0.628,0.201,0.0964,0.936,0.0525,-858.5,-861,-856,0.1188
-857.5,0.074,0.058,0.7196,0.628,0.201,0.0998,0.936,0.0525,-857.5,-860,-855,0.1218
-856.5,0.074,0.058,0.7494,0.628,0.201,0.083,0.936,0.0525,-856.5,-859,-854,0.0997
-855.5,0.074,0.058,0.719,0.628,0.201,0.1041,0.936,0.0525,-855.5,-858,-853,0.1265
-854.5,0.074,0.058,0.6841,0.628,0.201,0.1184,0.936,0.0525,-854.5,-857,-852,0.1475
-853.5,0.074,0.058,0.6197,0.628,0.201,0.1787,0.936,0.0525,-853.5,-856,-851,0.2238
-852.5,0.074,0.058,0.6545,0.628,0.201,0.1581,0.936,0.0525,-852.5,-855,-850,0.1946
-851.5,0.074,0.058,0.6516,0.628,0.201,0.1512,0.936,0.0525,-851.5,-854,-849,0.1883
-850.5,0.074,0.058,0.6758,0.628,0.201,0.1696,0.936,0.0525,-850.5,-853,-848,0.2006
-849.5,0.074,0.058,0.7252,0.628,0.201,0.1542,0.936,0.0525,-849.5,-852,-847,0.1753
-848.5,0.074,0.058,0.7573,0.628,0.201,0.1507,0.936,0.0525,-848.5,-851,-846,0.166
-847.5,0.074,0.058,0.7334,0.628,0.201,0.1711,0.936,0.0525,-847.5,-850,-845,0.1891
-846.5,0.074,0.058,0.7303,0.628,0.201,0.1646,0.936,0.0525,-846.5,-849,-844,0.1839
-845.5,0.074,0.058,0.7536,0.628,0.201,0.1215,0.936,0.0525,-845.5,-848,-843,0.1389
-844.5,0.074,0.058,0.7222,0.628,0.201,0.1492,0.936,0.0525,-844.5,-847,-842,0.1712
-843.5,0.074,0.058,0.7231,0.628,0.201,0.1282,0.936,0.0525,-843.5,-846,-841,0.1506
-842.5,0.074,0.058,0.7419,0.628,0.201,0.1345,0.936,0.0525,-842.5,-845,-840,0.1534
-841.5,0.074,0.058,0.7069,0.628,0.201,0.1502,0.936,0.0525,-841.5,-844,-839,0.1752
-840.5,0.074,0.058,0.644,0.628,0.201,0.1803,0.936,0.0525,-840.5,-843,-838,0.2187
-839.5,0.074,0.058,0.6281,0.628,0.201,0.1617,0.936,0.0525,-839.5,-842,-837,0.2047
-838.5,0.074,0.058,0.5805,0.628,0.201,0.1691,0.936,0.0525,-838.5,-841,-836,0.2256
-837.5,0.074,0.058,0.6066,0.628,0.201,0.1186,0.936,0.0525,-837.5,-840,-835,0.1636
-836.5,0.074,0.058,0.6702,0.628,0.201,0.0851,0.936,0.0525,-836.5,-839,-834,0.1126
-835.5,0.074,0.058,0.7541,0.628,0.201,0.0526,0.936,0.0525,-835.5,-838,-833,0.0652
