,tmean,tstart,tstop,size_mean,size_max,num_bursts,burst_width,burst_width_high,phrate_mean
0,-810.0,-900.0,-720.0,144.99,615.3,576,4.0,3.78,225058.7
1,-800.0,-890.0,-710.0,143.86,615.3,560,4.02,3.79,220460.5
2,-790.0,-880.0,-700.0,142.5,615.3,550,4.02,3.71,216329.3
3,-780.0,-870.0,-690.0,143.87,615.3,531,4.07,3.7,215116.5
4,-770.0,-860.0,-680.0,142.38,609.0,526,4.05,3.61,216091.4
5,-760.0,-850.0,-670.0,143.2,788.0,535,4.04,3.55,213042.4
6,-750.0,-840.0,-660.0,142.22,788.0,531,4.05,3.47,210844.0
7,-740.0,-830.0,-650.0,144.17,788.0,526,4.06,3.44,214256.4
8,-730.0,-820.0,-640.0,146.41,788.0,508,4.08,3.5,218094.3
9,-720.0,-810.0,-630.0,145.14,788.0,562,4.05,3.61,218452.2
10,-710.0,-800.0,-620.0,146.91,788.0,564,4.06,3.63,222320.2
11,-700.0,-790.0,-610.0,146.79,788.0,538,4.08,3.61,218932.9
12,-690.0,-780.0,-600.0,145.7,788.0,520,4.05,3.47,218107.1
13,-680.0,-770.0,-590.0,145.11,788.0,536,4.06,3.5,214302.7
14,-670.0,-760.0,-580.0,144.17,788.0,552,4.03,3.45,214570.0
15,-660.0,-750.0,-570.0,145.23,788.0,537,4.06,3.29,215428.5
16,-650.0,-740.0,-560.0,145.86,788.0,551,4.06,3.29,214973.7
17,-640.0,-730.0,-550.0,146.42,788.0,555,4.08,3.3,215126.7
18,-630.0,-720.0,-540.0,145.65,788.0,568,4.03,3.24,217433.9
19,-620.0,-710.0,-530.0,146.48,788.0,590,4.02,3.23,223041.1
20,-610.0,-700.0,-520.0,146.89,788.0,610,4.02,3.25,225620.3
21,-600.0,-690.0,-510.0,147.16,788.0,595,4.0,3.25,226853.6
22,-590.0,-680.0,-500.0,148.35,788.0,593,4.04,3.31,227473.5
23,-580.0,-670.0,-490.0,146.17,732.3,579,4.02,3.34,228963.3
24,-570.0,-660.0,-480.0,147.87,1083.7,581,4.02,3.41,235095.6
25,-560.0,-650.0,-470.0,146.05,1083.7,586,4.01,3.54,230107.2
26,-550.0,-640.0,-460.0,145.32,1083.7,594,4.0,3.46,229177.3
27,-540.0,-630.0,-450.0,146.04,1083.7,543,4.01,3.32,229293.1
28,-530.0,-620.0,-440.0,144.82,1083.7,556,3.98,3.32,227226.8
29,-520.0,-610.0,-430.0,143.81,1083.7,567,3.96,3.29,228072.2
30,-510.0,-600.0,-420.0,144.58,1083.7,577,3.97,3.42,227296.4
31,-500.0,-590.0,-410.0,145.07,1083.7,570,3.97,3.41,230074.2
32,-490.0,-580.0,-400.0,149.12,1083.7,563,4.01,3.52,234331.3
33,-480.0,-570.0,-390.0,148.0,1083.7,564,4.0,3.59,233132.1
34,-470.0,-560.0,-380.0,148.65,1083.7,569,4.0,3.58,234927.1
35,-460.0,-550.0,-370.0,146.26,1083.7,545,3.97,3.61,233077.4
36,-450.0,-540.0,-360.0,146.48,1083.7,542,4.0,3.63,234118.9
37,-440.0,-530.0,-350.0,144.65,1083.7,534,3.98,3.64,228771.9
38,-430.0,-520.0,-340.0,144.68,1083.7,519,3.99,3.57,227714.4
39,-420.0,-510.0,-330.0,144.26,1083.7,530,4.0,3.58,226515.8
40,-410.0,-500.0,-320.0,146.67,1083.7,533,3.99,3.58,230753.9
