,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
-870.0,0.569,0.1472,0.0765,0.929,0.062,-870.0,-900,-840,0.0765
-860.0,0.569,0.1472,0.096,0.929,0.062,-860.0,-890,-830,0.096
-850.0,0.569,0.1472,0.13,0.929,0.062,-850.0,-880,-820,0.13
-840.0,0.569,0.1472,0.17,0.929,0.062,-840.0,-870,-810,0.17
-830.0,0.569,0.1472,0.1984,0.929,0.062,-830.0,-860,-800,0.1984
-820.0,0.569,0.1472,0.2135,0.929,0.062,-820.0,-850,-790,0.2135
-810.0,0.569,0.1472,0.2384,0.929,0.062,-810.0,-840,-780,0.2384
-800.0,0.569,0.1472,0.2046,0.929,0.062,-800.0,-830,-770,0.2046
-790.0,0.569,0.1472,0.1599,0.929,0.062,-790.0,-820,-760,0.1599
-780.0,0.569,0.1472,0.1783,0.929,0.062,-780.0,-810,-750,0.1783
-770.0,0.569,0.1472,0.1878,0.929,0.062,-770.0,-800,-740,0.1878
-760.0,0.569,0.1472,0.1571,0.929,0.062,-760.0,-790,-730,0.1571
-750.0,0.569,0.1472,0.1282,0.929,0.062,-750.0,-780,-720,0.1282
-740.0,0.569,0.1472,0.1476,0.929,0.062,-740.0,-770,-710,0.1476
-730.0,0.569,0.1472,0.1693,0.929,0.062,-730.0,-760,-700,0.1693
-720.0,0.569,0.1472,0.1042,0.929,0.062,-720.0,-750,-690,0.1042
-710.0,0.569,0.1472,0.0951,0.929,0.062,-710.0,-740,-680,0.0951
-700.0,0.569,0.1472,0.104,0.929,0.062,-700.0,-730,-670,0.104
-690.0,0.569,0.1472,0.1071,0.929,0.062,-690.0,-720,-660,0.1071
-680.0,0.569,0.1472,0.0873,0.929,0.062,-680.0,-710,-650,0.0873
-670.0,0.569,0.1472,0.0754,0.929,0.062,-670.0,-700,-640,0.0754
-660.0,0.569,0.1472,0.1187,0.929,0.062,-660.0,-690,-630,0.1187
-650.0,0.569,0.1472,0.1155,0.929,0.062,-650.0,-680,-620,0.1155
-640.0,0.569,0.1472,0.1337,0.929,0.062,-640.0,-670,-610,0.1337
-630.0,0.569,0.1472,0.1355,0.929,0.062,-630.0,-660,-600,0.1355
-620.0,0.569,0.1472,0.1345,0.929,0.062,-620.0,-650,-590,0.1345
-610.0,0.569,0.1472,0.1304,0.929,0.062,-610.0,-640,-580,0.1304
-600.0,0.569,0.1472,0.1055,0.929,0.062,-600.0,-630,-570,0.1055
-590.0,0.569,0.1472,0.0981,0.929,0.062,-590.0,-620,-560,0.0981
-580.0,0.569,0.1472,0.0876,0.929,0.062,-580.0,-610,-550,0.0876
-570.0,0.569,0.1472,0.061,0.929,0.062,-570.0,-600,-540,0.061
-560.0,0.569,0.1472,0.051,0.929,0.062,-560.0,-590,-530,0.051
-550.0,0.569,0.1472,0.0432,0.929,0.062,-550.0,-580,-520,0.0432
-540.0,0.569,0.1472,0.0367,0.929,0.062,-540.0,-570,-510,0.0367
-530.0,0.569,0.1472,0.0461,0.929,0.062,-530.0,-560,-500,0.0461
-520.0,0.569,0.1472,0.039,0.929,0.062,-520.0,-550,-490,0.039
-510.0,0.569,0.1472,0.0599,0.929,0.062,-510.0,-540,-480,0.0599
-500.0,0.569,0.1472,0.0858,0.929,0.062,-500.0,-530,-470,0.0858
-490.0,0.569,0.1472,0.1141,0.929,0.062,-490.0,-520,-460,0.1141
-480.0,0.569,0.1472,0.1486,0.929,0.062,-480.0,-510,-450,0.1486
-470.0,0.569,0.1472,0.1611,0.929,0.062,-470.0,-500,-440,0.1611
-460.0,0.569,0.1472,0.207,0.929,0.062,-460.0,-490,-430,0.207
-450.0,0.569,0.1472,0.2214,0.929,0.062,-450.0,-480,-420,0.2214
-440.0,0.569,0.1472,0.1929,0.929,0.062,-440.0,-470,-410,0.1929
-430.0,0.569,0.1472,0.1619,0.929,0.062,-430.0,-460,-400,0.1619
-420.0,0.569,0.1472,0.1364,0.929,0.062,-420.0,-450,-390,0.1364
-410.0,0.569,0.1472,0.1146,0.929,0.062,-410.0,-440,-380,0.1146
-400.0,0.569,0.1472,0.0725,0.929,0.062,-400.0,-430,-370,0.0725
-390.0,0.569,0.1472,0.0838,0.929,0.062,-390.0,-420,-360,0.0838
-380.0,0.569,0.1472,0.0889,0.929,0.062,-380.0,-410,-350,0.0889
-370.0,0.569,0.1472,0.1056,0.929,0.062,-370.0,-400,-340,0.1056
-360.0,0.569,0.1472,0.1011,0.929,0.062,-360.0,-390,-330,0.1011
-350.0,0.569,0.1472,0.0841,0.929,0.062,-350.0,-380,-320,0.0841
-340.0,0.569,0.1472,0.0918,0.929,0.062,-340.0,-370,-310,0.0918
-330.0,0.569,0.1472,0.0713,0.929,0.062,-330.0,-360,-300,0.0713
-320.0,0.569,0.1472,0.0953,0.929,0.062,-320.0,-350,-290,0.0953
-310.0,0.569,0.1472,0.0833,0.929,0.062,-310.0,-340,-280,0.0833
-300.0,0.569,0.1472,0.0841,0.929,0.062,-300.0,-330,-270,0.0841
-290.0,0.569,0.1472,0.1193,0.929,0.062,-290.0,-320,-260,0.1193
-280.0,0.569,0.1472,0.1062,0.929,0.062,-280.0,-310,-250,0.1062
-270.0,0.569,0.1472,0.1078,0.929,0.062,-270.0,-300,-240,0.1078
-260.0,0.569,0.1472,0.0938,0.929,0.062,-260.0,-290,-230,0.0938
-250.0,0.569,0.1472,0.1651,0.929,0.062,-250.0,-280,-220,0.1651
-240.0,0.569,0.1472,0.1486,0.929,0.062,-240.0,-270,-210,0.1486
-230.0,0.569,0.1472,0.1327,0.929,0.062,-230.0,-260,-200,0.1327
-220.0,0.569,0.1472,0.1308,0.929,0.062,-220.0,-250,-190,0.1308
-210.0,0.569,0.1472,0.149,0.929,0.062,-210.0,-240,-180,0.149
-200.0,0.569,0.1472,0.1598,0.929,0.062,-200.0,-230,-170,0.1598
-190.0,0.569,0.1472,0.1146,0.929,0.062,-190.0,-220,-160,0.1146
-180.0,0.569,0.1472,0.1143,0.929,0.062,-180.0,-210,-150,0.1143
-170.0,0.569,0.1472,0.1252,0.929,0.062,-170.0,-200,-140,0.1252
