,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
-870.0,0.569,0.1472,0.0656,0.929,0.062,-870.0,-900,-840,0.0656
-860.0,0.569,0.1472,0.0839,0.929,0.062,-860.0,-890,-830,0.0839
-850.0,0.569,0.1472,0.1167,0.929,0.062,-850.0,-880,-820,0.1167
-840.0,0.569,0.1472,0.1542,0.929,0.062,-840.0,-870,-810,0.1542
-830.0,0.569,0.1472,0.1856,0.929,0.062,-830.0,-860,-800,0.1856
-820.0,0.569,0.1472,0.1991,0.929,0.062,-820.0,-850,-790,0.1991
-810.0,0.569,0.1472,0.229,0.929,0.062,-810.0,-840,-780,0.229
-800.0,0.569,0.1472,0.1942,0.929,0.062,-800.0,-830,-770,0.1942
-790.0,0.569,0.1472,0.1495,0.929,0.062,-790.0,-820,-760,0.1495
-780.0,0.569,0.1472,0.1641,0.929,0.062,-780.0,-810,-750,0.1641
-770.0,0.569,0.1472,0.165,0.929,0.062,-770.0,-800,-740,0.165
-760.0,0.569,0.1472,0.1411,0.929,0.062,-760.0,-790,-730,0.1411
-750.0,0.569,0.1472,0.1133,0.929,0.062,-750.0,-780,-720,0.1133
-740.0,0.569,0.1472,0.1331,0.929,0.062,-740.0,-770,-710,0.1331
-730.0,0.569,0.1472,0.1519,0.929,0.062,-730.0,-760,-700,0.1519
-720.0,0.569,0.1472,0.0994,0.929,0.062,-720.0,-750,-690,0.0994
-710.0,0.569,0.1472,0.094,0.929,0.062,-710.0,-740,-680,0.094
-700.0,0.569,0.1472,0.1021,0.929,0.062,-700.0,-730,-670,0.1021
-690.0,0.569,0.1472,0.1081,0.929,0.062,-690.0,-720,-660,0.1081
-680.0,0.569,0.1472,0.0887,0.929,0.062,-680.0,-710,-650,0.0887
-670.0,0.569,0.1472,0.0824,0.929,0.062,-670.0,-700,-640,0.0824
-660.0,0.569,0.1472,0.116,0.929,0.062,-660.0,-690,-630,0.116
-650.0,0.569,0.1472,0.1145,0.929,0.062,-650.0,-680,-620,0.1145
-640.0,0.569,0.1472,0.1284,0.929,0.062,-640.0,-670,-610,0.1284
-630.0,0.569,0.1472,0.1245,0.929,0.062,-630.0,-660,-600,0.1245
-620.0,0.569,0.1472,0.1206,0.929,0.062,-620.0,-650,-590,0.1206
-610.0,0.569,0.1472,0.1187,0.929,0.062,-610.0,-640,-580,0.1187
