,E,S,bg_a,bg_aa,bg_d,bp,i_end,i_start,na,naa,nd,nda,nt,size_raw,t_end,t_start,width_ms
0,0.693422,0.648823,3.187,2.335,1.407,0,609,399,91.813,71.665,40.593,-0.146,204.07,211,0.14529265,0.141990275,3.3024
1,0.697261,0.768444,3.728,2.731,1.646,0,1394,1307,42.272,18.269,18.354,0.829,78.895,88,0.37340297499999997,0.3695404375,3.8625
2,0.082435,1.016076,2.119,1.553,0.936,0,1900,1862,2.881,-0.553,32.064,-0.097,34.392,39,0.5407503499999999,0.5385544375,2.1959
3,0.830743,0.455655,3.575,2.62,1.579,0,2823,2720,36.425,52.38,7.421,-0.164,96.227,104,0.8332035,0.8294992124999999,3.7043
4,0.638726,0.727365,3.322,2.434,1.467,0,3765,3653,48.678,28.566,27.533,0.848,104.776,113,1.0459936125,1.0425511375,3.4425
5,0.170825,1.007178,3.229,2.366,1.426,0,7601,7544,8.771,-0.366,42.574,-0.148,50.979,58,2.5634872875,2.56014165,3.3456
6,0.722723,0.591323,2.271,1.664,1.003,0,8907,8775,54.729,52.336,20.997,-0.104,128.062,133,2.9892477625,2.9868945625,2.3532
7,0.220185,1.043959,2.07,1.517,0.914,0,9205,9167,7.93,-1.517,28.086,-0.095,34.5,39,3.050545875,3.0484012999999996,2.1446
8,0.893383,0.719931,2.554,1.871,1.128,0,12401,12346,32.446,14.129,3.872,-0.117,50.447,56,4.2947446875,4.292098275,2.6464
9,0.791641,0.492207,3.525,2.583,1.557,0,13225,13057,62.475,81.417,16.443,0.839,160.335,169,4.4302044,4.4265518749999995,3.6525
10,0.536192,0.714597,4.098,3.003,1.81,0,13857,13757,34.902,25.997,30.19,0.812,91.09,101,4.548190712499999,4.54394475,4.246
11,0.779963,0.510503,2.401,1.76,1.06,0,14884,14818,24.599,30.24,6.94,-0.11,61.778,67,4.911043475,4.908555225,2.4882
12,0.642778,0.626733,1.983,1.453,0.876,0,16546,16493,20.017,18.547,11.124,-0.091,49.687,54,5.45785055,5.45579545,2.0551
13,0.336103,0.78952,1.73,1.268,0.764,0,17837,17788,12.27,9.732,24.236,-0.079,46.238,50,5.906142474999999,5.904349562499999,1.7929
14,0.121181,1.032098,3.086,2.261,1.363,0,18237,18192,4.914,-1.261,35.637,-0.141,39.29,46,6.037104374999999,6.0339069125,3.1975
15,0.801804,0.724209,1.85,1.356,0.817,0,18558,18491,37.15,17.644,9.183,-0.085,63.977,68,6.1256049625,6.123688,1.917
16,0.837714,0.52811,1.794,1.315,0.792,0,19112,19025,37.206,39.685,7.208,-0.082,84.099,88,6.3085546875,6.3066955,1.8592
17,0.762317,0.554983,1.931,1.415,0.853,0,19355,19146,87.069,91.585,27.147,-0.088,205.801,210,6.315447724999999,6.3134467,2.001
18,0.78439,0.771837,2.275,1.667,1.005,0,20259,20201,32.725,12.333,8.995,-0.104,54.053,59,6.587946887499999,6.5855894125,2.3575
19,0.734773,0.628306,2.122,1.555,0.937,0,20899,20835,27.878,22.445,10.063,-0.097,60.386,65,6.7710025499999995,6.7688039625,2.1986
20,0.57673,0.703903,3.95,2.894,1.744,0,20990,20901,33.05,24.106,24.256,-0.181,81.411,90,6.7757413,6.7716482375,4.0931
21,0.766556,0.632519,3.388,2.482,1.496,0,22751,22599,70.612,53.518,21.504,-0.155,145.633,153,7.331048,7.327537524999999,3.5105
22,0.59249,0.496915,2.059,1.509,0.909,0,22858,22780,21.941,37.491,15.091,-0.094,74.522,79,7.342385999999999,7.340252124999999,2.1339
23,0.737941,0.562056,5.744,4.209,2.536,0,23044,22880,63.256,66.791,22.464,-0.263,152.511,165,7.35200195,7.346050699999999,5.9512
24,0.718414,0.648507,5.069,3.714,2.239,0,23943,23770,75.931,57.286,29.761,-0.232,162.977,174,7.6257926,7.6205399625,5.2526
25,0.092306,1.002792,1.508,1.105,0.666,0,24320,24280,3.492,-0.105,34.334,-0.069,37.72,41,7.7053996499999995,7.7038366499999995,1.563
