,E,S,bg_a,bg_aa,bg_d,bp,i_end,i_start,na,naa,nd,nda,nt,size_raw,t_end,t_start,width_ms
0,0.696401,0.62658,3.601,2.638,1.59,0,615,401,90.399,77.362,39.41,-0.165,207.171,215,0.1457692,0.1420383375,3.7309
1,0.708798,0.764255,3.297,2.416,1.456,0,1392,1306,42.703,18.584,17.544,0.849,78.83,87,0.37293909999999997,0.3695224875,3.4166
2,0.085413,0.999587,1.347,0.987,0.595,0,1897,1864,2.653,0.013,28.405,-0.062,31.071,34,0.540251625,0.538855675,1.396
3,0.815864,0.441077,3.007,2.204,1.328,0,2821,2721,33.993,52.796,7.672,-0.138,94.461,101,0.8328393125,0.8297232124999999,3.1161
4,0.624874,0.718496,2.619,1.919,1.157,0,3763,3654,46.381,29.081,27.843,0.88,103.304,110,1.0455129374999999,1.0427987749999998,2.7142
5,0.13902,0.990493,2.181,1.598,0.963,0,7590,7544,5.819,0.402,36.037,-0.1,42.257,47,2.56240175,2.56014165,2.2601
6,0.719078,0.569949,2.406,1.763,1.063,0,8912,8777,53.594,56.237,20.937,-0.11,130.768,136,2.98972075,2.9872273,2.4934
7,0.223673,1.031098,1.399,1.025,0.618,0,9203,9168,7.601,-1.025,26.382,-0.064,32.959,36,3.0501459625,3.0486965875,1.4494
8,0.888023,0.71361,2.259,1.655,0.998,0,12400,12346,31.741,14.345,4.002,-0.103,50.088,55,4.294438925,4.292098275,2.3406
9,0.813145,0.478706,3.936,2.884,1.738,0,13228,13060,62.064,83.116,14.262,0.82,159.442,169,4.430804725,4.426726325,4.0784
10,0.60146,0.693305,2.394,1.754,1.057,0,13839,13758,31.606,23.246,20.943,0.89,75.795,82,4.5469539625,4.54447355,2.4804
11,0.78125,0.492626,2.723,1.995,1.202,0,14884,14816,24.277,32.005,6.798,-0.125,63.079,69,4.911043475,4.908222025,2.8214
12,0.632483,0.620085,1.452,1.064,0.641,0,16546,16494,19.548,18.936,11.359,-0.066,49.844,53,5.45785055,5.4563465375,1.504
