,E,S,bg_a,bg_aa,bg_d,bp,i_end,i_start,na,naa,nd,nda,nt,size_raw,t_end,t_start,width_ms
0,0.164449,0.639434,2.046,2.298,3.506,0,164,72,8.954,30.702,45.494,-0.163,85.15,93,0.017848375,0.0156365625,2.2118
1,0.221769,0.4979,1.438,1.615,2.465,0,300,227,7.562,34.385,26.535,-0.115,68.482,74,0.03244845,0.0308936625,1.5548
2,0.249866,0.503011,1.572,1.765,2.694,0,982,894,10.428,41.235,31.306,-0.126,82.969,89,0.15700296249999998,0.15530365,1.6993
3,0.171632,0.991221,2.222,2.495,3.808,0,2015,1950,9.778,0.505,47.192,-0.178,57.475,66,0.391399725,0.3889977,2.402
4,0.197825,0.837616,1.54,1.729,2.638,0,2169,2106,9.46,9.271,38.362,0.877,57.093,64,0.41410173749999996,0.4124375125,1.6642
5,0.18025,0.745188,1.387,1.557,2.376,0,2219,2158,7.613,14.443,34.624,-0.111,56.68,62,0.4148894125,0.413390325,1.4991
6,0.092608,0.98448,2.077,2.332,3.558,0,3519,3469,3.923,0.668,38.442,-0.166,43.033,51,0.67618715,0.6739423124999999,2.2448
7,0.167623,0.992396,1.432,1.608,2.454,0,4488,4431,8.568,0.392,42.546,0.886,51.505,58,0.8366487874999999,0.8351006125,1.5482
8,0.071647,0.955468,1.582,1.776,2.711,0,4880,4824,3.418,2.224,44.289,0.874,49.931,57,0.9207504999999999,0.9190404999999999,1.71
9,0.211492,0.550944,1.403,1.575,2.404,0,7415,7354,6.597,25.425,24.596,-0.112,56.618,62,1.5122045625,1.5106881125,1.5164
10,0.219047,0.636381,1.667,1.872,2.857,0,7716,7658,7.333,19.128,26.143,-0.133,52.604,59,1.5472398125,1.5454376625,1.8022
11,0.094441,0.977461,2.024,2.274,3.469,0,10806,10767,2.976,0.726,28.531,-0.162,32.233,40,2.2873414249999997,2.2851529999999998,2.1884
12,0.17253,0.731902,3.093,3.473,5.3,0,16550,16429,13.907,29.527,66.7,-0.247,110.134,122,3.5848370624999997,3.5814938124999998,3.3432
13,0.245417,0.699242,2.457,2.759,4.21,0,21675,21576,15.543,27.241,47.79,-0.196,90.573,100,4.8377490875,4.8350930125,2.6561
14,0.179096,0.692884,2.033,2.284,3.484,0,21732,21661,7.967,19.716,36.516,-0.162,64.199,72,4.8392952375,4.8370971625,2.1981
15,0.077923,1.006202,1.993,2.238,3.415,0,27396,27349,3.007,-0.238,35.585,1.841,38.355,48,5.9120919375,5.9099378125,2.1541
16,0.106078,0.508192,2.233,2.507,3.826,0,28322,28226,4.767,43.493,40.174,-0.178,88.434,97,6.0941540624999995,6.0917405625,2.4135
17,0.14524,0.654608,1.513,1.699,2.592,0,28384,28332,4.487,16.301,26.408,-0.121,47.196,53,6.097987649999999,6.0963523125,1.6353
18,0.217969,0.538111,3.511,3.943,6.016,0,29812,29676,14.489,57.057,51.984,-0.281,123.53,137,6.3692404625,6.3654451125,3.7954
19,0.166433,0.539541,3.698,4.153,6.337,0,30683,30466,18.302,93.847,91.663,-0.295,203.812,218,6.515195325,6.5111976,3.9977
20,0.19486,0.669665,3.376,3.792,5.786,0,30884,30714,20.624,52.208,85.214,-0.27,158.046,171,6.5232921875,6.519642312499999,3.6499
21,0.053534,1.000486,1.799,2.02,3.082,0,30999,30952,2.201,-0.02,38.918,-0.144,41.099,48,6.5429977,6.541053325,1.9444
22,0.261713,0.945612,1.995,2.241,3.419,0,31644,31605,8.005,1.759,22.581,-0.159,32.345,40,6.68709375,6.684936775,2.157
23,0.218497,0.497626,3.754,4.216,6.433,0,32782,32563,22.246,102.784,79.567,0.7,204.597,220,6.8881561,6.884097799999999,4.0583
24,0.21635,0.735428,1.164,1.307,1.994,0,32923,32863,8.836,14.693,32.006,0.907,55.535,61,6.8935050874999995,6.8922469625,1.2581
25,0.285715,0.561008,1.907,2.142,3.268,0,35110,35022,13.093,35.858,32.732,-0.152,81.683,89,7.3156979875,7.3136364375,2.0616
26,0.227908,0.545468,2.048,2.3,3.509,0,35650,35547,11.952,43.7,40.491,-0.164,96.144,104,7.411306187499999,7.4090926375,2.2135
27,0.161932,0.583945,2.868,3.221,4.915,0,35891,35795,8.132,35.779,42.085,-0.229,85.996,97,7.440505425,7.43740485,3.1006
28,0.299745,0.755964,1.661,1.865,2.846,0,36389,36338,10.339,11.135,24.154,-0.133,45.629,52,7.531650225,7.5298550749999995,1.7952
29,0.142413,0.494328,2.357,2.646,4.038,0,39123,39047,4.643,33.354,27.962,1.812,65.959,77,8.127752362499999,8.1252049625,2.5474
