,E,S,bp,max_rate,na,naa,nd,nda,nt,size_raw,t_end,t_start,width_ms,max_rate_Dem,max_rate_Aem
0,-0.015469,0.757376,0,61862.565,-0.13,2.692,8.535,-0.022,11.097,13,0.01648235,0.016189349999999998,0.293,,
1,0.072348,0.582521,0,417148.378,2.216,21.951,28.413,-0.073,52.58,59,0.0172885125,0.0162895,0.999,418083.788,
2,0.281604,0.574864,0,104607.148,6.492,17.05,16.562,-0.066,40.104,45,0.017839624999999998,0.016934325,0.9053,60698.762,
3,0.035856,0.537769,0,142403.783,0.883,21.176,23.753,-0.058,45.812,51,0.0321778625,0.031392687499999995,0.7852,143339.193,
4,0.07746,0.600084,0,312436.877,2.017,17.357,24.027,-0.045,43.402,48,0.156147225,0.1555347625,0.6125,313372.287,
5,0.437456,0.358474,0,123015.674,5.052,20.667,6.497,-0.023,32.216,34,0.15699421249999998,0.15667725,0.317,,
6,0.029939,0.859152,0,174958.222,0.723,3.959,23.425,-0.073,28.106,34,0.1613336,0.16034175,0.9918,172230.234,
7,-0.078068,1.0384,0,502606.476,-1.239,-0.587,17.112,-0.041,15.286,19,0.26309442499999997,0.2625353125,0.5591,503541.886,
8,-0.021491,0.835342,0,48326.398,-0.178,1.628,8.437,-0.026,9.888,12,0.26699558749999996,0.2666413875,0.3542,,
9,0.089687,0.977126,0,131563.823,3.483,0.909,35.349,-0.076,39.741,47,0.3907831375,0.38974397499999996,1.0392,121583.328,
10,-0.062716,0.959864,0,146071.557,-1.035,0.69,17.531,-0.022,17.186,20,0.39213977499999997,0.39184427499999996,0.2955,141077.729,
11,0.124277,0.864328,0,375057.368,4.753,6.003,33.492,0.93,44.248,52,0.41354385,0.412594425,0.9494,248119.031,
12,0.143387,0.763111,0,283063.039,5.13,11.106,30.648,-0.063,46.885,53,0.4148806625,0.4140295375,0.8511,271565.733,
13,0.051533,0.975095,0,87756.964,0.877,0.435,16.145,-0.04,17.457,21,0.424930475,0.4243920625,0.5384,71188.55,
14,0.255721,0.679266,0,67041.465,3.501,6.465,10.191,-0.037,20.157,23,0.42789839999999996,0.42738882499999997,0.5096,38836.114,
15,-0.137686,1.027193,0,97476.247,-1.637,-0.315,13.524,-0.022,11.573,14,0.457741375,0.45744162499999996,0.2998,98411.657,
16,0.013932,0.991673,0,92544.578,0.279,0.168,19.741,-0.058,20.188,25,0.544686975,0.5438945749999999,0.7924,81614.985,
17,-0.022885,0.930595,0,44205.219,-0.188,0.614,8.415,-0.027,8.841,11,0.5447959625,0.5444278874999999,0.3681,,
18,0.28121,0.428715,0,94755.469,4.286,20.309,10.955,-0.048,35.55,39,0.6163383375,0.615680425,0.6579,37954.444,
19,0.140659,0.452663,0,149712.213,2.138,18.381,13.063,0.957,33.582,38,0.6187306874999999,0.6181409375,0.5898,85486.487,
20,0.022282,0.957596,0,310741.054,0.611,1.214,26.811,-0.055,28.637,34,0.67504215,0.6742937499999999,0.7484,178591.837,
21,-0.047297,1.040166,0,68241.395,-0.513,-0.419,11.366,-0.029,10.434,13,0.6755328625,0.675133675,0.3992,69176.805,
22,0.109631,1.048388,0,44698.264,0.913,-0.385,7.418,-0.027,7.947,10,0.6792979625,0.678931675,0.3663,,
23,0.108924,0.664167,0,145179.917,2.458,11.41,20.108,-0.041,33.976,38,0.6871975874999999,0.6866358625,0.5617,106047.042,
24,-0.03541,1.049829,0,43819.477,-0.32,-0.429,9.351,-0.03,8.603,11,0.7399986125,0.7395902875,0.4083,42050.004,
25,0.365257,0.84222,0,44705.234,3.092,1.586,5.374,-0.029,10.052,12,0.740277925,0.7398835375,0.3944,,
26,0.135456,1.007914,0,276586.583,6.567,-0.381,41.911,0.903,48.097,58,0.8362959125,0.8349808249999999,1.3151,216172.8,21717.854
27,-0.152585,1.043316,0,169242.216,-2.511,-0.683,18.966,0.952,15.772,21,0.9200944999999999,0.9194437375,0.6508,170177.626,
28,0.003109,0.966613,0,368921.401,0.095,1.059,30.577,-0.066,31.732,38,0.9207417499999999,0.9198458125,0.8959,315871.974,
29,0.131235,0.823633,0,91372.961,1.556,2.54,10.303,-0.032,14.399,17,0.9240781,0.9236395249999999,0.4386,64160.578,
30,0.165016,0.682435,0,163537.482,3.004,8.47,15.198,-0.037,26.672,30,0.9267416125,0.9262368125,0.5048,87809.618,
31,0.068445,1.043336,0,45647.254,0.688,-0.418,9.368,-0.029,9.639,12,1.277728725,1.27733085,0.3979,44687.868,
32,0.16224,0.381335,0,102566.559,3.407,34.07,17.593,-0.065,55.071,60,1.5103314625,1.5094457875,0.8857,76622.582,
33,0.204218,0.645626,0,88657.327,3.786,10.176,14.753,-0.058,28.714,33,1.5118788125,1.5110936124999998,0.7852,74629.354,
34,0.194887,0.418121,0,64289.067,2.433,17.372,10.05,-0.044,29.856,33,1.5121958125,1.511597975,0.5978,41004.496,
35,0.013874,0.963858,0,206831.825,0.388,1.048,27.56,-0.067,28.995,35,1.5265471499999999,1.525640275,0.9069,207767.234,
36,-0.078679,0.976264,0,88307.925,-1.094,0.338,14.999,-0.046,14.243,18,1.5408292375,1.540198725,0.6305,85261.976,
37,0.364766,0.649177,0,51023.771,3.13,4.636,5.45,-0.025,13.216,15,1.545078775,1.5447324999999998,0.3463,,
38,0.210407,0.655006,0,125707.063,5.239,13.114,19.659,-0.062,38.011,43,1.5465873749999999,1.5457430374999999,0.8443,126642.472,
39,-0.030468,0.805217,0,146140.591,-0.524,4.163,17.734,-0.059,21.372,26,1.6318355375,1.6310381999999999,0.7973,147076.001,
40,0.180064,1.029326,0,175352.845,1.878,-0.297,8.55,-0.021,10.131,12,1.806279775,1.8059967749999999,0.283,,
41,0.052773,0.705139,0,141328.798,0.576,4.566,10.344,-0.03,15.487,18,1.8858942625,1.8854813,0.413,61224.494,
42,-0.002075,1.039755,0,73440.639,-0.031,-0.577,15.127,-0.04,14.518,18,1.8932793124999998,1.8927295375,0.5498,70128.376,
43,0.31969,0.932325,0,73395.583,3.075,0.698,6.543,-0.021,10.316,12,1.96422915,1.9639416374999998,0.2875,,
44,0.137397,1.051698,0,93601.21,2.053,-0.734,12.889,-0.051,14.207,18,2.28602695,2.285327325,0.6996,66598.318,
45,-0.157007,1.048198,0,47409.929,-1.28,-0.375,9.433,-0.026,7.778,10,2.286094775,2.2857376874999997,0.3571,48345.339,
46,-0.158135,1.049452,0,45035.138,-1.286,-0.383,9.42,-0.027,7.751,10,2.2861972374999997,2.28583215,0.3651,45970.548,
47,-0.007775,1.026527,0,78192.605,-0.067,-0.222,8.664,-0.016,8.375,10,2.2866393499999997,2.2864277375,0.2116,,
48,0.281972,0.973559,0,126638.709,4.368,0.421,11.124,0.959,15.913,20,2.5811910499999997,2.5806392875,0.5518,69912.048,
49,0.239008,1.046647,0,46908.548,2.02,-0.377,6.43,0.974,8.073,11,2.5813379125,2.5809792,0.3587,,
50,0.068552,0.795634,0,68793.386,0.69,2.584,9.371,-0.029,12.645,15,2.5996381625,2.5992420375,0.3961,62099.586,
51,0.020831,0.959339,0,102171.16,0.284,0.578,13.362,-0.029,14.225,17,2.6179878875,2.6175862999999997,0.4016,103106.569,
52,0.210699,0.572676,0,77666.7,3.198,11.326,11.981,-0.047,26.505,30,2.6410851749999997,2.64044345,0.6417,54606.231,
53,-0.136687,0.915703,0,82684.608,-1.163,0.783,9.672,-0.015,9.292,11,2.7355366,2.7353302125,0.2064,83620.018,
54,-0.044787,1.048694,0,56593.188,-0.442,-0.458,10.307,-0.032,9.407,12,2.735879425,2.7354431,0.4363,57528.598,
55,0.029902,1.057069,0,140813.313,0.341,-0.616,11.068,-0.043,10.793,14,2.9822830249999996,2.9816963,0.5867,75855.994,
56,-0.034224,0.544358,0,44646.059,-0.31,7.584,9.371,-0.029,16.646,19,3.2384277375,3.2380319125,0.3958,45581.468,
57,-0.072611,0.736041,0,57406.952,-0.882,4.354,13.023,-0.045,16.495,20,3.2387979875,3.2381827125,0.6153,49088.67,
58,0.027441,0.959943,0,62031.422,0.347,0.527,12.284,-0.033,13.158,16,3.41542835,3.414977875,0.4505,50639.501,
59,0.09406,0.728954,0,175649.967,4.452,17.6,42.883,-0.098,64.935,74,3.5834288125,3.582095725,1.3331,137059.837,14648.12
60,0.134663,0.880839,0,67574.823,1.625,1.633,10.444,-0.026,13.703,16,3.5836338375,3.5832840875,0.3497,54938.772,
61,0.047469,0.668325,0,135884.552,0.796,8.325,15.979,-0.047,25.101,29,3.5846771,3.5840344749999997,0.6426,85939.009,
62,-0.018562,1.05355,0,123485.304,-0.288,-0.789,15.807,-0.055,14.73,19,3.89468515,3.8939338125,0.7513,124420.714,
63,0.241419,0.471674,0,64809.23,2.097,9.728,6.588,-0.019,18.412,20,4.0467380749999995,4.0464786375,0.2594,,
64,0.042708,1.013177,0,202276.247,0.568,-0.173,12.738,-0.012,13.133,15,4.441094875,4.440930025,0.1648,151485.084,
65,0.487321,0.606287,0,50979.006,4.23,5.636,4.45,-0.025,14.316,16,4.5541300375,4.5537836375,0.3464,,
66,0.108995,0.575056,0,240822.255,2.008,13.611,16.412,-0.027,32.031,35,4.5549485249999995,4.5545781624999995,0.3704,147665.388,
67,0.088788,0.416828,0,63157.692,1.16,18.274,11.902,-0.051,31.336,35,4.6688380249999994,4.66814675,0.6913,47412.499,
68,0.138871,0.61776,0,107669.085,2.091,9.317,12.967,-0.048,24.375,28,4.6700447875,4.66939435,0.6504,75687.677,
69,0.209081,0.679555,0,315884.207,11.199,25.258,42.364,-0.122,78.821,89,4.837246575,4.8355872,1.6594,316819.617,37949.091
70,0.095948,0.84473,0,274173.178,2.747,5.263,25.885,-0.052,33.895,39,4.8386435625,4.8379413625,0.7022,227473.933,
71,0.060723,0.580816,0,104000.881,1.276,15.164,19.735,-0.058,36.175,41,4.839977,4.839180649999999,0.7963,74638.432,
